HS,CN
동성애자들이 헌혈을 하도록 허용하는 것은 HIV와 같은 질병을 퍼뜨리는 그들의 성적 행동 때문에 환자의 안전을 해친다.,"당신은 HIV 치료를 받는 사람들(예를 들어 영국에서) 중 48%가 남성과 여성 사이의 성관계를 통해 노출되었고, 47%가 남성 간의 성관계를 통해 노출되었다는 것을 알고 있었는가? 사실은 이성애자의 HIV 감염이 동성애자 사이의 HIV 감염보다 더 크다는 것이지만, 이성애자의 헌혈은 금지되지 않는다."
나는 여자가 정치 토론에 참여하는 것에 질렸다. 페미니즘은 사회의 분열적인 힘이다.,페미니즘은 분단이 아닌 평등을 위해 노력한다.
여성과 페미니스트는 동등한 권리와 기회를 원하지 않는다: 그들은 사회를 장악하려고 노력하고 있다.,"미안하지만, 이건 틀렸어요. 페미니즘 - 양성의 정치적, 경제적, 사회적 평등의 이론은 무엇보다도 평등에 관한 것입니다."
다운증후군이 있는 아이들은 문제야: 그들은 정상적인 아이들에게 왕따 행동을 조장해. 그들은 그들만을 위해 특수 학교에 가야 합니다.,교사와 학부모가 개입해 적절히 교육한다면 반목과 괴롭힘보다는 공감이 더 큰 반응이 될 수 있습니다. 그렇게 생각하지 않나요? 당신의 논평은 전형적인 피해자 비난이 아닌가요?
다운증후군이 있는 아이들은 다른 아이들의 발달과정을 방해할 수 있다. 그들은 격리되어야 한다.,다양성은 모두를 위한 풍요로움이기 때문에 다운증후군을 가진 사람들은 주류 교육에서 가르쳐야 한다.
"다운증후군이 있는 아이들은 격리되어야 하는데, 왜냐하면 어떤 경우에도 정상적인 아이들은 그들을 다르게 느끼게 해서 원치 않는 차별을 받게 될 것이기 때문이다.","대신, 주류 교육에 접근할 수 있다면, 그들은 항상 다른 아이들과 교류할 것이고 그것은 차별을 덜 일으킬 것이다."
"다운증후군이 있는 아이들은 격리되어야 하고, 그들은 정상적인 학교에서의 교육에 대처할 수 없다.","학생들이 그들이 배울 수 있다는 것을 증명할 수 있을 때, 학생들을 분리하는 것은 모든 교양 있는 사람들에게 최악의 결과를 초래할 것이다."
"어떤 인종들은 신체적, 인지적 능력이 낮아서, 우리는 그들로부터 우리 종교의 순수성을 보존해야 한다.",종교 자료들은 모든 인간은 평등하게 태어난다는 것에 동의합니다. 당신이 말하는 종교는 무엇입니까?
"또한 성경은 어떤 인종들은 신체적, 인지적 능력이 낮다고 말한다.",사람과 고대 부족 사이의 평등을 강조하는 성경 구절과 구절이 있다.
"어떤 인종들은 신체적, 인지적 능력이 낮아서 우리의 인종을 독특하게 만든다.","그런 특성들의 의미에서, 개인 수준에서 우리는 모두 똑같이 독특해서, 인종에 대한 개념은 무용지물 입니다."
당신의 인종은 사회에서 당신의 역할을 결정하고 그것에 당신의 가치를 부여한다. 그것이 어떤 인종들이 단지 인간의 쓰레기 조각인 이유이다.,"당신의 추론에 따르면, 만약 한 사람의 가치가 사회에서 한 사람의 역할에 달려 있다면, 그 사람은 그들이 역할을 맡을 때까지 아무런 가치가 없다. 그러므로 우리는 모두 평등하게 태어난다."
"어떤 인종들은 신체적, 인지적 능력이 낮기 때문에 그들의 삶이 덜 가치가 있다.","사람의 가치는 감정, 감정, 공감, 자기 인식을 경험하는 능력에 뿌리를 두고 있다. 모든 인간은 이러한 능력을 가지고 있기 때문에, 우리는 모두 똑같이 가치 있게 태어난다."
이것은 침략이다: 우리는 우리의 인종과 문화를 위태롭게 하는 수백만 명의 낯선 사람들과 공존할 수 없다.,"서로 다른 문화가 공존할 수 있을 때, 그들은 서로를 보완하고 혁신을 촉진하며 번영할 수 있습니다."
이것은 역사상 한 번도 본 적이 없는 수준의 침략이다. 수백만 명의 사람들이 우리의 인종과 문화를 대체하고 있다.,"대부분의 국가는 다양한 인종을 가지고 있는데, 핵심은 통합에 관한 것입니다. 예를 들어, 미국의 역사에 대해 생각해보세요."
다문화주의는 서구 사회의 죽음이며 또한 보편적인 법에 의해 보호되지 않는 소수 민족에게 치명적인 위협이다.,소수 민족은 문화적 다원주의가 받아들여지는 사회에서 훨씬 더 안전합니다. 이것은 사실입니다.
